"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LEGOBatmanMovie: There’s nothing like celebrating the holidays with your butler and over-enthusiastic sidekick. #LEGOBatmanMovie https:…",FALSE,0,NA,2017-04-29 07:57:43,FALSE,NA,"858228790337601536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","9lyjE8CnAZJmjfk",1061,TRUE,FALSE,NA,NA
"2","@DCComics @WWE @Marvel @KISSOnline @LEGO_Group #LEGOBatmanMovie items on @eBay 
https://t.co/3m5lHZO5Hi",FALSE,0,"DCComics",2017-04-29 07:55:03,FALSE,NA,"858228118540210176","18173624","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AaronStoker87",0,FALSE,FALSE,NA,NA
"3","LEGO Videos on Youtube https://t.co/8MykiDTBBN #LEGO #LEGOBatmanMovie #LEGODimensions #LEGOWorlds #Lego #Minifigures #Minifigure #LegoBatman",FALSE,0,NA,2017-04-29 06:20:42,FALSE,NA,"858204374136434688",NA,"<a href=""http://example.com"" rel=""nofollow"">Twitter Tobor</a>","VOETBALSHIRTS15",0,FALSE,FALSE,NA,NA
"4","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-29 05:41:17,FALSE,NA,"858194455836463104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoctoAmigo",119,TRUE,FALSE,NA,NA
"5","Hey @LEGOBatmanMovie, so those rumors i heard about you and #Robin are true? 
#Lego #Batman #LEGOBatmanMovie… https://t.co/RtU8SoubkU",FALSE,1,NA,2017-04-29 05:34:49,TRUE,NA,"858192826974306305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LalterEGO_",0,FALSE,FALSE,NA,NA
"6","Omg #legobatmanmovie was so epic and excellent and everything is awesome https://t.co/HNriQUbtAc",FALSE,0,NA,2017-04-29 05:18:09,FALSE,NA,"858188635945877504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","georgetweets2u",0,FALSE,FALSE,NA,NA
"7","Lego batman cleared my skin #legobatmanmovie #legobatman #joker #HarleyQuinn https://t.co/GlrL9mmcC3",FALSE,1,NA,2017-04-29 04:11:37,FALSE,NA,"858171888870187012",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","s3tok41b4",0,FALSE,FALSE,NA,NA
"8","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-29 03:34:51,FALSE,NA,"858162638106140672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coolpoolcanoe",174,TRUE,FALSE,NA,NA
"9","Check out #McDonalds #HappyMeal #Toys #Superhero Lot - #LegoBatmanMovie And #Avengers  https://t.co/0Rn5qDUD9Y @eBay #Batman",FALSE,1,NA,2017-04-29 03:24:13,FALSE,NA,"858159963608408064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msonnenburg",0,FALSE,FALSE,NA,NA
"10","Classic. #LEGOBatmanMovie #BeautyAndTheBeast #ConfessionoftheDay https://t.co/5RwSLIB7rN",FALSE,0,NA,2017-04-29 02:48:29,FALSE,NA,"858150969955299329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StanConfessions",0,FALSE,FALSE,NA,NA
"11","So @TheMisterZee and I just learned a thing. #siriknowswhatsup #LEGOBatmanMovie https://t.co/XHUlYyMBGZ",FALSE,0,NA,2017-04-29 01:33:20,FALSE,NA,"858132056727060482",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","busycreative",0,FALSE,FALSE,NA,NA
"12","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-29 00:45:47,FALSE,NA,"858120089186574337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","scaramanga74",119,TRUE,FALSE,NA,NA
"13","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-29 00:45:36,FALSE,NA,"858120044458512384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","scaramanga74",174,TRUE,FALSE,NA,NA
"14","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-29 00:35:33,FALSE,NA,"858117517423804416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RogerRicar",174,TRUE,FALSE,NA,NA
"15","The #LEGOBatmanMovie is starting in one hour in the Union Family Room! https://t.co/2NGpDxV65s",FALSE,0,NA,2017-04-28 23:30:29,FALSE,NA,"858101140780724224",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","UWYOCAC",0,FALSE,FALSE,NA,NA
"16","RT @L_Strikes_art: If you call me Batgirl can I call you Batboy? #legobatmanmovie https://t.co/12wJJIBzLv",FALSE,0,NA,2017-04-28 22:52:35,FALSE,NA,"858091602388103168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whataboutnah",343,TRUE,FALSE,NA,NA
"17","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 22:14:17,FALSE,NA,"858081963873378305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","P7iKUBwE0rNZfmy",119,TRUE,FALSE,NA,NA
"18","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 22:09:14,FALSE,NA,"858080694903480326",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesharden1992",174,TRUE,FALSE,NA,NA
"19","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 21:32:51,FALSE,NA,"858071537785724928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sketchupscratch",119,TRUE,FALSE,NA,NA
"20","RT @Svenmoravec: I'm batmouth

#LEGOBatmanMovie https://t.co/chgShsY4MW",FALSE,0,NA,2017-04-28 20:46:48,FALSE,NA,"858059949796196353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Disconeedsme",1,TRUE,FALSE,NA,NA
"21","Fin de semana / weekend!!! #lego #batman #imbatman #legobatmanmovie #brucewayne #dccomics… https://t.co/zdUEuV75xV",FALSE,0,NA,2017-04-28 20:37:48,FALSE,NA,"858057685803167745",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Tambigoton",0,FALSE,FALSE,NA,NA
