"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I just saw the Lego Batman movie and now I have a better understanding of family, but I'm still gonna ignore them! #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 19:26:43,FALSE,NA,"833397420142764037",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CherryWuffy",0,FALSE,FALSE,NA,NA
"2","Enter #LEGOBatmanMovie Prize Pack GIVEAWAY (Includes $25 Visa GC)  @NYCSingleMom https://t.co/9JIoi3VS4o",FALSE,0,NA,2017-02-19 19:26:34,FALSE,NA,"833397382389833728",NA,"<a href=""http://giveawaytools.com"" rel=""nofollow"">Giveaway Tools Confirmation</a>","tcrowley122",0,FALSE,FALSE,NA,NA
"3","Enter to win a #LEGOBatmanMovie Prize Pack! #TheHoppingBloggers #Giveaway #LEGOBatman https://t.co/eRxZYlEmOd",FALSE,0,NA,2017-02-19 19:26:32,FALSE,NA,"833397375515389954",NA,"<a href=""http://giveawaytools.com"" rel=""nofollow"">Giveaway Tools Confirmation</a>","carloshough5",0,FALSE,FALSE,NA,NA
"4","RT @MuA15MuA: Went out for a new iPad case came home with these ... but no iPad case <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+0088> #LEGOBatmanMovie #LEGO @LEGO_Group https://t.co/3PI…",FALSE,0,NA,2017-02-19 19:26:15,FALSE,NA,"833397304505692160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mustang_matt007",1,TRUE,FALSE,NA,NA
"5","Ready for some fun! @legolandcalifornia #LEGOBATMANMOVIE
#LEGOLANDCA 
The LEGO® Batman Mov… https://t.co/7mVq1OStvv https://t.co/GVzdzm2EvD",FALSE,0,NA,2017-02-19 19:26:09,FALSE,NA,"833397278333399040",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","BriGeeski",0,FALSE,FALSE,NA,NA
"6","Yall I know I'm late to this, but #LEGOBatmanMovie is hilarious!! Best Batman movie I've seen in a loooong time",FALSE,0,NA,2017-02-19 19:25:00,FALSE,NA,"833396989853315074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rachel_Aaron",0,FALSE,FALSE,NA,NA
"7","RT @littleboo_21: With the release of the #LEGOBatmanMovie today, keep your little ones busy this half term with some #LEGOBatmanBooks http…",FALSE,0,NA,2017-02-19 19:24:59,FALSE,NA,"833396985101037568",NA,"<a href=""https://gleam.io"" rel=""nofollow"">Gleam Competition App</a>","AOHTurner",160,TRUE,FALSE,NA,NA
"8","RT @JustJared: #LEGOBatmanMovie beat out both #FiftyShadesDarker &amp; #THEGREATWALL at the box office. https://t.co/C7YKgpeAB4",FALSE,0,NA,2017-02-19 19:23:26,FALSE,NA,"833396592296198144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","50sombras_gt",22,TRUE,FALSE,NA,NA
"9","RT @TheDCEU: ""Am I going to stand like a dork in the Lego Batman standee fuck yeah I am""

-@ZackSnyder on @verotruesocial
#legobatmanmovie…",FALSE,0,NA,2017-02-19 19:23:14,FALSE,NA,"833396544216899584",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LizLuria",126,TRUE,FALSE,NA,NA
"10","I don't feel any emotion except rage #LEGOBatmanMovie",FALSE,0,NA,2017-02-19 19:23:08,FALSE,NA,"833396518644219904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thesIayer",0,FALSE,FALSE,NA,NA
