"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Sunday starting at ten am with
Boss Baby. Then the Lego Batman Movie at 11.40.",FALSE,0,NA,2017-04-29 04:54:20,FALSE,NA,"858182641102839808",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","StateCinemaMot",0,FALSE,FALSE,NA,NA
"2","#LEGO MINIFIGURES THE BATMAN MOVIE LTD ED 16/20 3 near complete sets
<ed><U+00A0><U+00BC><ed><U+00BC><U+0090><U+FE0F> https://t.co/obNRUrbnEX https://t.co/0D627xeHZa",FALSE,1,NA,2017-04-29 04:44:30,FALSE,NA,"858180164181786625",NA,"<a href=""https://lego.bestpricedealz.com"" rel=""nofollow"">We Love Lego Bot</a>","bpdlego",0,FALSE,FALSE,NA,NA
"3","The Lego Batman Movie (2017) https://t.co/fC6eUCZ6P4 #Fantasy #Action #Animation #Comedy #Family #Movie",FALSE,0,NA,2017-04-29 04:26:05,FALSE,NA,"858175531992444930",NA,"<a href=""http://tweetapart.com"" rel=""nofollow"">TweetApart.com</a>","cinemacrush",0,FALSE,FALSE,NA,NA
"4","Watching LEGO Batman: The Movie - DC Super Heroes Unite — https://t.co/SjlKshg0RX",FALSE,0,NA,2017-04-29 04:02:24,FALSE,NA,"858169573098401792",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","PasaPrimannisa",0,FALSE,FALSE,NA,NA
"5","I rated The LEGO Batman Movie (2017) 7/10  #IMDb https://t.co/jD2llH5HmO",FALSE,1,NA,2017-04-29 03:33:13,FALSE,NA,"858162226712018944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","damienpbuckley",0,FALSE,FALSE,NA,NA
"6","@markiplier Have you seen the Lego Batman movie?",FALSE,0,"markiplier",2017-04-29 03:23:21,FALSE,NA,"858159744812449794","517077573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RoxyMoron13",0,FALSE,FALSE,NA,NA
"7","@kuryakii i'm watching the lego batman movie!! he told scuttler to take babs, dick and alfred to a mexican place in bludhaven",FALSE,1,"kuryakii",2017-04-29 03:21:09,FALSE,"858158872279822337","858159189310533636","3856703715","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mamachariboy",0,FALSE,FALSE,NA,NA
"8","I liked a @YouTube video https://t.co/G0h7puGQMI BAD BABY LEGO ZOMBIES DESTROY CHUCK E CHEESE v LEGO BATMAN MOVIE<U+239C>SPIDERMAN ELSA",FALSE,0,NA,2017-04-29 03:08:27,FALSE,NA,"858155996266602497",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","twistia",0,FALSE,FALSE,NA,NA
"9","Lego batman is a great movie. So many fun villains.",FALSE,0,NA,2017-04-29 03:01:07,FALSE,NA,"858154149845880832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TARDISeeker",0,FALSE,FALSE,NA,NA
"10","@combs_e LEGO Dimensions - Story Pack Lego Batman Movie is now on sale for 28,99€ at Amazon. Product page: https://t.co/mtvpgyHHnC",FALSE,0,"combs_e",2017-04-29 02:47:48,FALSE,NA,"858150798034731009","252316669","<a href=""http://camelcamelcamel.com/"" rel=""nofollow"">amazon.com price drop alerts by camelcamelcamel.com</a>","camelcamelcamel",0,FALSE,FALSE,NA,NA
