"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Kuvshinov_Ilya: 'Moana' process steps! You can support me for more steps, videos, PSDs, high-res versions here: https://t.co/FKrf3xa1oM…",FALSE,0,NA,2017-04-29 04:52:03,FALSE,NA,"858182068248821760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunbts020705",1351,TRUE,FALSE,NA,NA
"2","Te Moana Nui 

Takes of the Pacific Show 

Time https://t.co/FpFAWMPzrP",FALSE,1,NA,2017-04-29 04:51:33,FALSE,NA,"858181939949223937",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TheREALRIKISHI",1,FALSE,FALSE,NA,NA
"3","Does Maui from Moana want to DIE: https://t.co/EI5U8WB7P8 via @YouTube",FALSE,0,NA,2017-04-29 04:51:11,FALSE,NA,"858181849662849024",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","shermanderman",0,FALSE,FALSE,NA,NA
"4","RT @lpkids: COMPETITION! With the help of #Moana, we're looking for more budding #travel writers for our blog. Info: https://t.co/dsv7innSd…",FALSE,0,NA,2017-04-29 04:50:31,FALSE,NA,"858181678963060738",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Merzedes320",390,TRUE,FALSE,NA,NA
"5","[MOANA RALLY] 
AND THE SENIORS TAKE THE SPIRIT STICK!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><U+2764> https://t.co/2S1OgVNZjj",FALSE,0,NA,2017-04-29 04:50:28,FALSE,NA,"858181667243966464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MHSThunderbolt",0,FALSE,FALSE,NA,NA
"6","Very late to the Moana train, but very glad I made it. Honestly a great movie.",FALSE,0,NA,2017-04-29 04:49:55,FALSE,NA,"858181529213820929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miiirandahardy",0,FALSE,FALSE,NA,NA
"7","Employer: ""Tell me about yourself?""
Me: I am the girl who loves my island, I'm the girl who loves the sea. I am Moana!!!!! *Hair flip*",FALSE,0,NA,2017-04-29 04:49:51,FALSE,NA,"858181514596556800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeeeedJustice",0,FALSE,FALSE,NA,NA
"8","RT @RlCKYSPANlSH: Now Ima start off with the most recent song ""Shiny"" From Moana. Probably one of my favorite songs from Moana gotta nice l…",FALSE,0,NA,2017-04-29 04:49:21,FALSE,NA,"858181388490735616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LacyTheGing",1,TRUE,FALSE,NA,NA
"9","How is it that in a family with three boys and only one girl, we still end up watching Moana on movie night..",FALSE,1,NA,2017-04-29 04:48:38,FALSE,NA,"858181205149204480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnthonyZzt",0,FALSE,FALSE,NA,NA
"10","But this is #fridaynight with my niece passed out watching Moana <ed><U+00A0><U+00BE><ed><U+00B6><U+0080><ed><U+00A0><U+00BD><ed><U+00B0><U+00A0><ed><U+00A0><U+00BD><ed><U+00B0><U+008B><ed><U+00A0><U+00BD><ed><U+00B0><U+009A> https://t.co/IQoFzJSlGV",FALSE,0,NA,2017-04-29 04:48:33,FALSE,NA,"858181185645576192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarabzzz",0,FALSE,FALSE,NA,NA
"11","[MOANA RALLY]

THIS IS OUR HOUSE! THIS IS OUR HOUSE! SENIORS ALWAYS KNOW HOW TO SHOW SPIRIT <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> https://t.co/B2Drpn87KB",FALSE,0,NA,2017-04-29 04:48:24,FALSE,NA,"858181145623642112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MHSThunderbolt",0,FALSE,FALSE,NA,NA
"12","[MOANA RALLY] 

SENIOR SKIT PT2 https://t.co/BFhvkx4bRk",FALSE,0,NA,2017-04-29 04:48:24,FALSE,NA,"858181145619386368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MHSThunderbolt",0,FALSE,FALSE,NA,NA
"13","RT @AlexaReyMaddock: The Moana soundtrack fire tho",FALSE,0,NA,2017-04-29 04:48:21,FALSE,NA,"858181134534004736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tannerjoyy",3,TRUE,FALSE,NA,NA
"14","moana made me cry because there is always hope in any situation and it's okay to try again",FALSE,0,"sabineemelanie",2017-04-29 04:48:11,FALSE,"858180797198733313","858181091403984896","3209506552","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sabineemelanie",0,FALSE,FALSE,NA,NA
"15","tfw ur favourite song from moana is an outtake (i love MORE)",FALSE,1,NA,2017-04-29 04:48:03,FALSE,NA,"858181058637873152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhythmrally",0,FALSE,FALSE,NA,NA
"16","RT @Kuvshinov_Ilya: 'Moana' process steps! You can support me for more steps, videos, PSDs, high-res versions here: https://t.co/FKrf3xa1oM…",FALSE,0,NA,2017-04-29 04:47:49,FALSE,NA,"858181000739815424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaskedBatter",1351,TRUE,FALSE,NA,NA
"17","RT @Kuvshinov_Ilya: 'Moana' process steps! You can support me for more steps, videos, PSDs, high-res versions here: https://t.co/FKrf3xa1oM…",FALSE,0,NA,2017-04-29 04:47:38,FALSE,NA,"858180956800372738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bootywizard_",1351,TRUE,FALSE,NA,NA
"18","RT @Kuvshinov_Ilya: 'Moana' process steps! You can support me for more steps, videos, PSDs, high-res versions here: https://t.co/FKrf3xa1oM…",FALSE,0,NA,2017-04-29 04:47:32,FALSE,NA,"858180928321048576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","itspandapuffs",1351,TRUE,FALSE,NA,NA
